JobAcceptedDate,jobAcceptedTime,calledMerchantTime,arrivedAtMerchantTime,mealPickedUpTime,arrivedAtCustLocationTime,foodDeliveredTime,riderInitial.lat,riderInitial.long,Merchant.Lat,Merchant.Lng,Customer.lat,Customer.lng,MerchantName,NationFoodCategory,FoodCategories
2020-10-02,15:48:49,15:49:43,15:55:04,15:56:21,16:20:02,16:20:38,13.8234499,100.56951,13.8286272,100.5708436,13.7786081,100.5766103,ร้านอาหารอร่อย@พหล30,Thai,อาหารตามสั่ง
2020-10-05,16:35:20,16:36:51,16:51:34,17:06:28,17:33:31,17:34:29,13.8252343,100.546863,13.8313101,100.559465,13.77583707,100.542976,ร้าน ๑ เดี่ยวส้มตำ @รัชดา48,Thai,อาหารอีสาน
2020-10-10,19:32:44,19:33:28,19:51:52,19:55:36,20:13:42,20:14:05,13.821116,100.559232,13.8392356,100.5513614,13.794282,100.549671,นัวขนาด,Thai,อาหารอีสาน
2020-10-08,11:54:14,11:55:16,12:05:05,12:15:39,12:44:43,12:45:28,13.8276462,100.561028,13.8232357,100.560739,13.812971,100.610308,ร้านตู้ปลา หลังชินวัตร3,Thai,อาหารตามสั่ง
2020-10-14,21:51:24,21:52:39,22:00:45,22:04:52,22:18:38,22:19:27,13.8202286,100.549525,13.8294607,100.5349546,13.862964,100.536036,Queen Steak House,International,สเต๊ก
2020-10-01,09:29:05,09:30:51,09:39:34,09:52:28,10:12:17,10:12:24,13.8261693,100.555053,13.8259715,100.55715,13.800699,100.573447,Ploen,Thai,อาหารตามสั่ง
2020-10-11,19:48:17,19:48:55,19:57:34,20:01:45,20:20:07,20:21:24,13.8193379,100.567328,13.8270341,100.5645341,13.797278,100.552185,ร้านเข้าซอย,Thai,อาหารเหนือ
2020-10-07,09:18:35,09:20:02,09:25:04,09:38:41,10:08:34,10:09:33,13.8282532,100.564004,13.8295898,100.5621261,13.784998,100.569631,Hangout by aruno,Thai,อาหารตามสั่ง
2020-10-03,12:26:38,12:28:30,12:43:30,12:51:41,13:27:19,13:27:30,13.823736,100.568694,13.8212138,100.5802001,13.765223,100.567891,HungryMan House,International,สปาเก็ตตี้
2020-10-03,16:09:59,16:10:53,16:15:13,16:16:14,16:40:28,16:40:57,13.8214429,100.564804,13.8236557,100.5663012,13.815763,100.610654,Lab Ped Nong Khai,Thai,อาหารอีสาน
2020-10-11,21:54:35,21:56:11,22:08:52,22:09:48,22:52:06,22:53:11,13.825217,100.553545,13.8270341,100.5645341,13.739573,100.555864,เหมยอาหารตามสั่ง,Thai,อาหารตามสั่ง
2020-10-01,20:05:51,20:06:47,20:17:25,20:30:21,21:08:06,21:08:17,13.819382,100.559212,13.8270341,100.5645341,13.770947,100.576655,ร้านเข้าซอย,Thai,อาหารเหนือ
2020-10-13,18:05:28,18:06:27,18:19:41,18:23:32,18:33:49,18:34:46,13.8287274,100.558802,13.8398417,100.5539785,13.844872,100.527703,Jitprapassorn Restaurant,Thai,อาหารตามสั่ง
2020-10-07,11:49:21,11:51:06,12:02:24,12:02:57,12:52:43,12:54:10,13.8258323,100.565057,13.8208421,100.5558652,13.833928,100.659263,ครัวบ้านบ้าน,Thai,อาหารตามสั่ง
2020-10-10,14:30:12,14:31:36,14:35:18,14:39:31,15:22:04,15:23:23,13.8204634,100.567048,13.8270341,100.5645341,13.738515,100.564749,ร้านพี่น้อง,Thai,อาหารตามสั่ง
2020-10-02,08:09:36,08:10:01,08:15:48,08:16:57,08:43:41,08:44:33,13.826108,100.569478,13.8246205,100.5633957,13.775817,100.575734,สหชัยบะหมี่เกี๊ยวปูหมูแดง ร้านก๊วยเตี๊ยว,Thai,ร้านก๋วยเตี๋ยว
2020-10-04,14:43:44,14:43:54,14:56:06,14:57:59,15:04:52,15:05:46,13.823784,100.559395,13.8394082,100.5508608,13.845245,100.565148,Michelle Gourmet,International,อาหารตามสั่ง
2020-10-09,20:30:12,20:31:30,20:42:05,20:46:37,21:08:18,21:09:35,13.8230736,100.560481,13.8222855,100.5764408,13.77143,100.594757,ร้านอาหารตามสั่งป้าหวี,Thai,อาหารตามสั่ง
2020-10-03,09:01:18,09:01:33,09:08:38,09:08:43,09:35:58,09:36:16,13.8209383,100.555371,13.8270341,100.5645341,13.778313,100.548449,ร้านขนมจีน,Thai,ขนมจีน
2020-10-12,15:27:56,15:29:05,15:42:40,15:52:00,16:28:34,16:28:49,13.8271359,100.555095,13.8270341,100.5645341,13.768619,100.596208,ร้านเข้าซอย,Thai,อาหารเหนือ
2020-10-10,12:54:52,12:56:01,13:09:38,13:21:37,14:05:51,14:06:29,13.8260739,100.549158,13.8275203,100.5654979,13.744085,100.587193,ร้านขาหมูอร่อยนะบายจอย,Thai,อาหารตามสั่ง
2020-10-08,12:54:26,12:54:53,13:01:16,13:15:10,13:40:52,13:42:04,13.8223791,100.552412,13.8233794,100.5506289,13.778938,100.570875,ร้านครัวตามใจสั่ง,Thai,อาหารตามสั่ง
2020-10-12,11:01:49,11:03:37,11:18:27,11:21:18,11:38:38,11:39:33,13.8273242,100.568059,13.8369959,100.5404075,13.816298,100.562819,Hia Lek,Thai,อาหารตามสั่ง
2020-10-01,14:50:47,14:52:36,15:03:08,15:13:13,15:41:21,15:41:54,13.8239524,100.550809,13.8401798,100.5423255,13.835037,100.580824,กิวกิวเต้ ประชาชื่น,Japanese,ปิ้งย่าง
2020-10-13,09:13:06,09:13:36,09:18:24,09:23:44,09:34:35,09:35:09,13.8225307,100.561669,13.8246205,100.5633957,13.814019,100.564862,ร้านข้าวแกงลุงดำ,Thai,อาหารตามสั่ง
2020-10-03,10:01:29,10:01:52,10:12:59,10:18:10,10:35:32,10:36:24,13.8290627,100.551156,13.8266157,100.5659024,13.785946,100.584923,ร้านข้าวซอย&ขนมจีน,Thai,อาหารเหนือ
2020-10-04,21:46:31,21:47:36,21:54:13,21:56:39,22:24:32,22:25:20,13.8225888,100.566996,13.8270341,100.5645341,13.778395,100.574172,ร้านอาหารสำรับกับข้าว,Thai,อาหารตามสั่ง
2020-10-02,09:19:09,09:20:39,09:23:53,09:28:35,09:33:21,09:33:33,13.8217283,100.56382,13.8270341,100.5645341,13.820002,100.568303,อาหารอิสลามฮัยดัร,Isram,อาหารฮาลาล
2020-10-09,10:15:10,10:16:11,10:19:26,10:28:11,10:49:33,10:50:52,13.8274565,100.547754,13.8334697,100.5452996,13.79759879,100.5560175,TEVA FOOD,Thai,อาหารตามสั่ง
2020-10-10,14:09:27,14:11:17,14:24:38,14:25:09,15:00:09,15:00:45,13.824316,100.560282,13.8299181,100.5339571,13.745572,100.551314,ถนัดกินกลางซอย,Thai,อาหารตามสั่ง
2020-10-10,11:34:13,11:35:46,11:52:47,12:07:39,12:51:18,12:51:33,13.8283997,100.563803,13.8435708,100.5448913,13.752776,100.533843,Smith & Rabbit Cuisine,International,อาหารตามสั่ง
2020-10-09,17:41:51,17:42:46,17:52:22,17:59:18,18:31:46,18:32:01,13.8222101,100.56417,13.8270341,100.5645341,13.8605896,100.5120078,บ้านขนมหวาน จะนะ,Thai,ของหวาน
2020-10-11,19:36:37,19:37:34,19:45:29,19:51:18,20:25:26,20:26:42,13.8281169,100.567588,13.8231392,100.5601657,13.888971,100.598906,ซินจ่าว ก๋วยจั๊บญวน,Thai,ร้านก๋วยเตี๋ยว
2020-10-12,21:26:21,21:27:59,21:41:34,21:53:52,22:40:50,22:41:48,13.824646,100.54801,13.8309975,100.535989,13.747821,100.555133,Buzza,International,อาหารตามสั่ง
2020-10-04,19:25:49,19:27:03,19:31:00,19:39:16,19:47:42,19:48:55,13.82438,100.559157,13.826941,100.5655884,13.816298,100.562819,ร้านข้าวแกง ครัววท.บ. (แม่ละเมียด),Thai,อาหารตามสั่ง
2020-10-09,11:54:06,11:55:53,12:08:54,12:10:30,12:41:37,12:43:02,13.8230884,100.546264,13.8299181,100.5339571,13.794186,100.588656,ถนัดกินกลางซอย,Thai,อาหารตามสั่ง
2020-10-09,15:39:53,15:40:59,15:48:44,15:57:13,16:03:29,16:03:45,13.823507,100.565198,13.8270341,100.5645341,13.8277728,100.5685145,ร้านโตโต้ ตำแหลก,Thai,อาหารอีสาน
2020-10-01,18:01:52,18:02:52,18:08:39,18:10:39,18:29:30,18:30:52,13.8260395,100.567431,13.8270341,100.5645341,13.788099,100.55787,ร้านเกี๋ยวเตี๋ยวแม่แหวน,Thai,ร้านก๋วยเตี๋ยว
2020-10-03,19:50:53,19:51:40,20:00:37,20:03:52,20:50:29,20:51:00,13.8282091,100.561573,13.8295721,100.5621929,13.73945,100.564353,ร้านอาหาร The White House@รัชโยธิน,Thai,อาหารตามสั่ง
2020-10-12,12:33:07,12:35:00,12:57:15,13:04:23,13:34:02,13:35:19,13.822353,100.564296,13.8272999,100.5283614,13.788352,100.552807,MK Restaurants,Thai,สุกี้ยากี้
2020-10-05,19:41:05,19:41:40,19:49:19,20:03:10,20:20:26,20:21:01,13.8210107,100.557431,13.823734,100.553947,13.81142121,100.5766005,ร้านปาร์ซีฟู้ดแซ่บBy.dara,Thai,อาหารทะเล
2020-10-11,18:47:57,18:48:11,18:53:27,19:07:03,19:22:21,19:22:30,13.823848,100.563797,13.8270341,100.5645341,13.806375,100.528936,หม่าล่า,Thai,อาหารจานด่วน
2020-10-05,17:41:00,17:41:15,17:47:16,17:47:59,18:33:31,18:33:37,13.8211492,100.564854,13.8266157,100.5659024,13.740071,100.580933,ร้านข้าวซอย&ขนมจีน,Thai,อาหารเหนือ
2020-10-10,09:35:34,09:36:15,09:54:11,09:59:00,10:32:47,10:33:10,13.8226103,100.561417,13.8273022,100.5358786,13.781352,100.543174,ร้านลูกชิ้นทอด,Thai,อาหารจานด่วน
2020-10-01,12:42:46,12:44:44,12:50:22,12:54:55,13:13:06,13:14:31,13.8243387,100.557943,13.8270341,100.5645341,13.85543711,100.5479227,ร้านก้อยร้อยลาภ,Thai,อาหารอีสาน
2020-10-11,17:00:14,17:02:12,17:09:19,17:10:36,17:46:32,17:46:57,13.8256517,100.563115,13.8270341,100.5645341,13.85340308,100.6360972,ร้าน ป.ตรี อาหารและเครื่องดี่ม,Thai,อาหารตามสั่ง
2020-10-10,21:41:02,21:42:57,21:58:52,22:05:11,22:35:07,22:35:37,13.8230532,100.564343,13.8401798,100.5423255,13.786216,100.573084,กิวกิวเต้ ประชาชื่น,Japanese,ปิ้งย่าง
2020-10-07,18:43:03,18:45:01,19:01:45,19:15:49,20:00:33,20:01:57,13.8258332,100.54748,13.8280084,100.5739745,13.74111,100.557812,ร้านป้าโอ๋ ลุงหมี,Thai,อาหารตามสั่ง
2020-10-04,19:48:09,19:49:37,19:55:12,20:00:00,20:28:07,20:28:50,13.8227431,100.568891,13.8270341,100.5645341,13.752088,100.53471,ร้านเกี๋ยวเตี๋ยวแม่แหวน,Thai,ร้านก๋วยเตี๋ยว
2020-10-14,20:45:01,20:46:00,20:54:41,21:04:25,21:18:08,21:18:24,13.8279428,100.566523,13.8270341,100.5645341,13.83561,100.573344,บังหมาน,Thai,อาหารทะเล
2020-10-13,18:54:26,18:55:29,19:09:42,19:15:38,19:34:44,19:35:45,13.8286714,100.550984,13.8270341,100.5645341,13.7777392,100.5787667,ร้านใบเตย,Thai,อาหารตามสั่ง
2020-10-12,20:49:12,20:49:29,21:06:03,21:08:26,21:42:52,21:43:21,13.8203368,100.553135,13.841296,100.5493439,13.79094,100.574658,ข้าวบ้านฉัน,Thai,อาหารตามสั่ง
2020-10-04,21:52:25,21:54:06,22:02:42,22:10:30,22:28:59,22:29:51,13.8236399,100.553495,13.8283918,100.5527541,13.840772,100.572248,ร้านเชิญมาลองอาหารตามสั่ง,Thai,อาหารตามสั่ง
2020-10-07,11:13:38,11:15:21,11:25:55,11:40:00,12:26:00,12:27:13,13.8190701,100.552425,13.8374458,100.5405386,13.753702,100.564323,ส้มตำ ไก่ย่าง ประชาชื่น 34,Thai,อาหารอีสาน
2020-10-13,08:23:00,08:23:59,08:33:47,08:38:47,09:33:42,09:34:54,13.8248123,100.552876,13.8246205,100.5633957,13.740195,100.57825,ร้านน้ำพริกบ้านย่า,Thai,อาหารตามสั่ง
2020-10-02,14:41:25,14:43:10,14:57:04,15:02:00,15:19:32,15:20:53,13.8206865,100.556637,13.8270341,100.5645341,13.7983381,100.5873659,ร้านอาหารตามสั่ง ตามใจปาก,Thai,อาหารตามสั่ง
2020-10-03,15:03:01,15:04:56,15:15:42,15:22:25,15:33:09,15:33:55,13.8290309,100.560323,13.8259476,100.5710006,13.806195,100.573053,ร้านลาบยโสธร แซ่บ100%,Thai,อาหารอีสาน
2020-10-14,09:50:59,09:52:19,10:03:47,10:06:57,10:39:51,10:40:16,13.8195778,100.56791,13.8259715,100.55715,13.744071,100.558644,Ploen,Thai,อาหารตามสั่ง
2020-10-11,12:04:54,12:05:28,12:20:20,12:26:14,13:02:20,13:02:44,13.8221545,100.555918,13.828221,100.566472,13.83663,100.504437,McDonald's,International,อาหารจานด่วน
2020-10-08,09:58:02,09:58:14,10:02:56,10:05:13,10:36:14,10:37:18,13.8213219,100.557439,13.8260839,100.5609203,13.880844,100.599657,ร้านอาหารตามสั่ง ครัวมิตรภาพ พหลโยธิน 23,Thai,อาหารตามสั่ง
2020-10-13,20:13:03,20:13:43,20:26:41,20:41:05,21:21:20,21:21:53,13.8232086,100.559637,13.8208574,100.5793538,13.763003,100.546395,ร้านส้มตำเงินล้าน,Thai,อาหารอีสาน
2020-10-03,09:37:00,09:38:12,09:43:06,09:47:22,10:01:11,10:01:55,13.8263263,100.555803,13.8246205,100.5633957,13.822103,100.536214,หมึกย่างแม่ไก่ ร้านขายปลาหมึก กทม,Thai,อาหารทะเล
2020-10-05,18:26:56,18:28:13,18:35:02,18:46:29,19:24:13,19:25:39,13.8243429,100.56941,13.821011,100.5555603,13.7869491,100.6077452,พี่หนูตามใจ,Thai,อาหารตามสั่ง
2020-10-08,12:26:56,12:28:28,12:35:53,12:45:14,13:33:39,13:34:44,13.8257149,100.554384,13.8239427,100.566485,13.770979,100.63033,ลาบเป็ดอุดร พหลโยธิน24,Thai,อาหารอีสาน
2020-10-01,09:22:19,09:22:52,09:47:16,10:00:28,10:51:25,10:51:40,13.8260118,100.565837,13.8299181,100.5339571,13.740277,100.566035,ถนัดกินกลางซอย,Thai,อาหารตามสั่ง
2020-10-11,09:11:31,09:13:03,09:21:01,09:35:48,09:54:35,09:55:24,13.8203365,100.565964,13.8270341,100.5645341,13.830981,100.535008,ร้านบ้านเวียดนาม,Vietnam,อาหารตามสั่ง
2020-10-03,19:10:25,19:10:38,19:22:55,19:29:59,20:18:32,20:19:24,13.8246981,100.550423,13.8420914,100.5426436,13.746778,100.544107,Little Rabbit Lounge and Restaurant,Thai,อาหารตามสั่ง
2020-10-04,13:26:15,13:26:23,13:30:26,13:39:05,14:20:10,14:20:26,13.8276689,100.568269,13.8270341,100.5645341,13.755132,100.568902,ร้านเกี๋ยวเตี๋ยวแม่แหวน,Thai,ร้านก๋วยเตี๋ยว
2020-10-07,09:08:47,09:10:09,09:17:07,09:25:05,10:02:27,10:03:33,13.8255968,100.566033,13.8285458,100.5631067,13.889075,100.578039,ก๋วยเตี๋ยวเรือ นายบุญ,Thai,ร้านก๋วยเตี๋ยว
2020-10-04,11:19:32,11:19:45,11:22:51,11:33:19,12:02:41,12:03:57,13.8285557,100.566893,13.8270341,100.5645341,13.886641,100.603073,ร้านบ้านเวียดนาม,Vietnam,อาหารตามสั่ง
2020-10-13,17:08:53,17:10:02,17:19:09,17:32:45,18:04:43,18:05:52,13.8210932,100.557953,13.8270341,100.5645341,13.774685,100.573913,ร้านใบเตย,Thai,อาหารตามสั่ง
2020-10-09,09:06:46,09:07:30,09:13:39,09:25:06,09:37:57,09:38:24,13.8195971,100.567339,13.8232357,100.560739,13.829169,100.527111,ร้านตู้ปลา หลังชินวัตร3,Thai,อาหารตามสั่ง
2020-10-03,19:16:11,19:17:19,19:30:05,19:37:08,20:15:18,20:16:29,13.8268379,100.550857,13.8228114,100.5654557,13.85340308,100.6360972,สมตำคุณชาย,Thai,อาหารอีสาน
2020-10-07,08:10:54,08:11:15,08:21:08,08:30:57,09:02:24,09:03:21,13.8216523,100.555471,13.8246205,100.5633957,13.8320335,100.6132005,วอพเฟอร์เบลเยี่ยม กทม ร้านขายวอพเฟอร์,Thai,ของหวาน
2020-10-13,09:56:18,09:57:23,10:03:41,10:08:20,10:34:54,10:36:12,13.824889,100.549661,13.8270341,100.5645341,13.786469,100.555054,ร้านเอเกมส์,Thai,อาหารตามสั่ง
2020-10-02,12:28:57,12:29:44,12:38:05,12:41:31,13:08:58,13:09:17,13.8210385,100.568266,13.8270341,100.5645341,13.790344,100.537029,ร้านยำไม่ได้นอน เว้ย,Thai,อาหารตามสั่ง
2020-10-10,19:17:20,19:17:50,19:24:31,19:25:23,20:14:34,20:15:32,13.8263011,100.556782,13.8256273,100.559812,13.740273,100.580105,ร้านอาหารจานใหญ่ หลังปั้ม ปตท. ซ.วิภาวดี32,Thai,อาหารตามสั่ง
2020-10-05,13:18:12,13:18:54,13:31:12,13:43:04,14:28:04,14:29:31,13.8280977,100.557192,13.8272046,100.536048,13.748585,100.561538,ไก่ย่างห้าดาว กรุงเทพ-นนท์44,Thai,Fast Food
2020-10-13,15:57:36,15:58:47,16:15:44,16:22:30,16:38:01,16:39:20,13.8215026,100.546718,13.828221,100.566472,13.79784,100.563673,McDonald's,International,อาหารจานด่วน
2020-10-11,20:41:25,20:42:48,20:48:10,20:51:57,21:44:10,21:44:18,13.8231011,100.563123,13.8245607,100.5642677,13.86893231,100.4890773,สมาคมส่งเสริมร้านอาหารแฟรนไชส์ไทย-เมียนมาร์,Myanmar,อาหารตามสั่ง
2020-10-05,12:12:23,12:14:09,12:24:31,12:39:00,12:59:41,13:01:00,13.8237101,100.546994,13.8270341,100.5645341,13.77807141,100.5745094,ร้านเลี่ยงเมืองปลาเผา,Thai,อาหารอีสาน
2020-10-07,16:47:25,16:47:49,16:55:23,16:56:35,17:10:29,17:11:44,13.8266416,100.563718,13.8270341,100.5645341,13.818726,100.584694,อาหารอิสลามฮัยดัร,Isram,อาหารฮาลาล
2020-10-07,20:33:48,20:35:30,20:42:12,20:52:54,21:24:43,21:25:08,13.8270612,100.564831,13.8270341,100.5645341,13.8809957,100.4999601,หม่าล่า,Thai,อาหารจานด่วน
2020-10-02,21:29:05,21:30:13,21:35:52,21:37:14,21:51:25,21:51:32,13.8194168,100.560678,13.8270341,100.5645341,13.807865,100.569738,ข้าวมันไก่3,Thai,อาหารตามสั่ง
2020-10-14,19:32:53,19:33:48,19:53:51,20:04:11,20:36:05,20:36:12,13.8221912,100.567111,13.8369959,100.5404075,13.7890408,100.555649,Hia Lek,Thai,อาหารตามสั่ง
2020-10-07,16:31:09,16:32:31,16:43:22,16:49:19,17:32:07,17:33:35,13.8245596,100.563516,13.8246298,100.5792843,13.862024,100.504931,ร้านวิไลนำโชค,Thai,อาหารตามสั่ง
2020-10-02,12:59:11,13:00:09,13:04:46,13:06:10,13:42:30,13:43:48,13.8192915,100.563092,13.8270341,100.5645341,13.741594,100.564391,ร้านตะวันข้าวขาหมู,Thai,อาหารตามสั่ง
2020-10-14,11:55:41,11:57:05,12:14:57,12:19:05,13:02:08,13:02:37,13.8226599,100.563683,13.8392356,100.5513614,13.764076,100.539792,นัวขนาด,Thai,อาหารอีสาน
2020-10-10,10:12:09,10:12:20,10:19:14,10:28:40,10:58:50,10:59:23,13.8264931,100.555772,13.8270341,100.5645341,13.753702,100.564323,ร้านอาหารตามสั่ง ตามใจปาก,Thai,อาหารตามสั่ง
2020-10-02,14:36:14,14:38:12,14:44:15,14:48:46,15:13:39,15:14:39,13.8253401,100.562119,13.8259715,100.55715,13.839363,100.581796,Ploen,Thai,อาหารตามสั่ง
2020-10-09,10:54:46,10:55:35,11:07:38,11:20:40,11:59:20,12:00:36,13.821752,100.556338,13.8270341,100.5645341,13.775902,100.541684,ร้านอาหารจานเปล ละเบ๋อ,Thai,อาหารตามสั่ง
2020-10-12,09:52:34,09:53:46,10:03:12,10:06:35,10:43:46,10:45:07,13.8272595,100.568065,13.8286272,100.5708436,13.771412,100.583671,ร้านอาหารอร่อย@พหล30,Thai,อาหารตามสั่ง
2020-10-08,11:58:16,11:59:09,12:16:57,12:28:20,13:05:58,13:07:12,13.8198506,100.547927,13.8266157,100.5659024,13.85799844,100.6451797,ร้านข้าวซอย&ขนมจีน,Thai,อาหารเหนือ
2020-10-08,17:40:08,17:40:38,17:47:34,17:59:35,18:26:43,18:27:17,13.8219263,100.552949,13.8246205,100.5633957,13.77143,100.594757,ร้านอาหารอมร,Thai,อาหารตามสั่ง
2020-10-04,15:38:01,15:39:06,15:53:02,15:55:17,16:39:04,16:40:27,13.8197727,100.555826,13.8270341,100.5645341,13.741623,100.575339,ร้าน อาหารตามสั่งแม็กกี้,Thai,อาหารตามสั่ง
2020-10-12,20:16:22,20:17:55,20:35:46,20:38:07,21:22:44,21:22:59,13.8196389,100.562913,13.8345401,100.5405318,13.75214216,100.5341398,Soontharee Restaurant,Thai,อาหารตามสั่ง
2020-10-14,17:18:14,17:19:40,17:25:18,17:30:08,17:46:00,17:46:18,13.8217424,100.566457,13.8270341,100.5645341,13.787668,100.544489,ร้านขายก๋วยเตี๋ยว,Thai,ร้านก๋วยเตี๋ยว
2020-10-13,20:19:41,20:20:25,20:31:55,20:33:05,21:08:19,21:09:40,13.8286056,100.564867,13.8281888,100.5774268,13.748585,100.561538,ร้านบ้านเรา,Thai,อาหารตามสั่ง
2020-10-07,15:57:45,15:57:58,16:14:05,16:28:22,16:45:23,16:45:49,13.8215391,100.569404,13.8309975,100.535989,13.820882,100.568217,Buzza,International,อาหารตามสั่ง
2020-10-06,08:26:27,08:27:40,08:39:46,08:43:27,09:17:43,09:18:06,13.8289736,100.561426,13.8263075,100.5738629,13.763939,100.569336,ร้านแซนวิชประตูเขียว,Thai,Quick Meal
2020-10-14,12:28:22,12:29:27,12:39:23,12:42:50,13:15:57,13:17:24,13.8202289,100.551259,13.826941,100.5655884,13.835382,100.657198,ร้านข้าวแกง ครัววท.บ. (แม่ละเมียด),Thai,อาหารตามสั่ง
2020-10-13,17:12:55,17:14:27,17:21:41,17:30:22,18:23:42,18:24:46,13.8191018,100.550358,13.8306088,100.5435153,13.739821,100.567415,แซบนัว ครัวอิสาน สาขาประชานุกุล,Thai,อาหารอีสาน
2020-10-04,17:39:42,17:40:22,17:54:12,18:02:35,18:17:59,18:19:08,13.8248477,100.553783,13.8363066,100.5505987,13.854761,100.516177,ห้างหุ้นส่วนจำกัด ปัญญาซีฟู๊ด,Thai,อาหารทะเล
2020-10-03,14:18:40,14:19:13,14:29:06,14:29:20,15:06:40,15:07:54,13.8221488,100.565057,13.8270089,100.5650808,13.760885,100.623334,SCB East Food Court,Thai,อาหารตามสั่ง
2020-10-12,16:47:34,16:47:48,17:02:09,17:16:51,17:22:59,17:23:18,13.8225823,100.546283,13.8270341,100.5645341,13.81776982,100.565006,ร้านขายก๋วยเตี๋ยว,Thai,ร้านก๋วยเตี๋ยว
2020-10-01,20:31:21,20:32:05,20:38:47,20:42:38,20:54:40,20:55:01,13.8203398,100.558792,13.8296455,100.5620011,13.826494,100.54297,This eat it,Thai,อาหารตามสั่ง
2020-10-01,17:23:43,17:25:02,17:32:59,17:42:44,18:18:29,18:19:00,13.8251068,100.562382,13.8208651,100.5558353,13.745757,100.557177,อาหารตามสั่ง ซอยวิภาวดีรังสิต 11,Thai,อาหารตามสั่ง
2020-10-05,16:32:36,16:33:48,16:40:19,16:52:02,17:26:49,17:27:38,13.8205878,100.55893,13.8246205,100.5633957,13.780393,100.57996,หมึกย่างแม่ไก่ ร้านขายปลาหมึก กทม,Thai,อาหารทะเล
2020-10-04,10:33:45,10:35:26,10:38:31,10:40:39,11:02:21,11:03:51,13.8260898,100.565914,13.8270341,100.5645341,13.772067,100.579894,ร้านเจ๊เอ เตี๋ยวน้ำใส,Thai,ร้านก๋วยเตี๋ยว
2020-10-01,18:53:34,18:54:05,19:02:49,19:15:11,19:29:24,19:30:28,13.8236081,100.565769,13.8270341,100.5645341,13.838551,100.57451,ร้านในฝัน,Thai,อาหารตามสั่ง
